menu_item_name,quantity,total_price,sale_date,order_id,day_of_week,hour_of_day
Prosciutto e Rucola,1,20.0,2026-02-05 11:08:00,ORD-00001,Thursday,11
House Red Wine,1,12.0,2026-02-05 11:43:00,ORD-00001,Thursday,11
Panna Cotta,1,10.0,2026-02-05 11:34:00,ORD-00001,Thursday,11
Burrata Caprese,1,16.0,2026-02-05 11:01:00,ORD-00002,Thursday,11
Rigatoni Bolognese,1,20.0,2026-02-05 11:45:00,ORD-00002,Thursday,11
Tiramisu,1,12.0,2026-02-05 11:34:00,ORD-00002,Thursday,11
Cappuccino,1,5.5,2026-02-05 11:28:00,ORD-00002,Thursday,11
Arancini,1,11.0,2026-02-05 11:05:00,ORD-00003,Thursday,11
Quattro Formaggi,1,19.0,2026-02-05 11:22:00,ORD-00003,Thursday,11
Margherita Pizza,1,16.0,2026-02-05 11:38:00,ORD-00003,Thursday,11
Cappuccino,1,5.5,2026-02-05 11:02:00,ORD-00003,Thursday,11
Limoncello,1,9.0,2026-02-05 11:39:00,ORD-00004,Thursday,11
Diavola Pizza,2,36.0,2026-02-05 11:23:00,ORD-00004,Thursday,11
Bruschetta Trio,1,12.5,2026-02-05 11:23:00,ORD-00005,Thursday,11
Caesar Salad,1,13.0,2026-02-05 11:22:00,ORD-00005,Thursday,11
Margherita Pizza,1,16.0,2026-02-05 11:17:00,ORD-00005,Thursday,11
Cappuccino,1,5.5,2026-02-05 11:43:00,ORD-00005,Thursday,11
Chocolate Lava Cake,1,13.0,2026-02-05 11:38:00,ORD-00005,Thursday,11
Bruschetta Trio,2,25.0,2026-02-05 11:44:00,ORD-00006,Thursday,11
House Red Wine,1,12.0,2026-02-05 11:43:00,ORD-00006,Thursday,11
Prosciutto e Rucola,1,20.0,2026-02-05 11:52:00,ORD-00007,Thursday,11
House Red Wine,1,12.0,2026-02-05 11:20:00,ORD-00007,Thursday,11
Panna Cotta,1,10.0,2026-02-05 11:04:00,ORD-00007,Thursday,11
Cacio e Pepe,2,34.0,2026-02-05 12:41:00,ORD-00008,Thursday,12
Tiramisu,1,12.0,2026-02-05 12:16:00,ORD-00008,Thursday,12
Espresso,1,4.0,2026-02-05 12:47:00,ORD-00008,Thursday,12
Eggplant Parmigiana,1,18.0,2026-02-05 12:05:00,ORD-00009,Thursday,12
Calamari Fritti,1,14.0,2026-02-05 12:55:00,ORD-00009,Thursday,12
Cappuccino,1,5.5,2026-02-05 12:40:00,ORD-00009,Thursday,12
Penne Arrabbiata,1,16.0,2026-02-05 12:38:00,ORD-00010,Thursday,12
Insalata Mista,2,22.0,2026-02-05 12:33:00,ORD-00010,Thursday,12
Affogato,1,8.0,2026-02-05 12:35:00,ORD-00010,Thursday,12
Cacio e Pepe,1,17.0,2026-02-05 12:41:00,ORD-00011,Thursday,12
Margherita Pizza,1,16.0,2026-02-05 12:46:00,ORD-00012,Thursday,12
Aperol Spritz,1,14.0,2026-02-05 12:32:00,ORD-00012,Thursday,12
Chocolate Lava Cake,1,13.0,2026-02-05 12:32:00,ORD-00012,Thursday,12
Burrata Caprese,1,16.0,2026-02-05 12:33:00,ORD-00013,Thursday,12
Penne Arrabbiata,2,32.0,2026-02-05 12:38:00,ORD-00013,Thursday,12
Prosciutto e Rucola,1,20.0,2026-02-05 12:01:00,ORD-00013,Thursday,12
Fettuccine Alfredo,1,18.0,2026-02-05 12:23:00,ORD-00013,Thursday,12
Spaghetti Carbonara,1,19.0,2026-02-05 12:48:00,ORD-00014,Thursday,12
Penne Arrabbiata,1,16.0,2026-02-05 12:08:00,ORD-00014,Thursday,12
Branzino al Forno,1,32.0,2026-02-05 12:30:00,ORD-00014,Thursday,12
Panna Cotta,2,20.0,2026-02-05 12:10:00,ORD-00014,Thursday,12
Limoncello,1,9.0,2026-02-05 13:45:00,ORD-00015,Thursday,13
Affogato,1,8.0,2026-02-05 13:42:00,ORD-00015,Thursday,13
Panzanella,1,14.0,2026-02-05 13:28:00,ORD-00015,Thursday,13
Spaghetti Carbonara,1,19.0,2026-02-05 13:45:00,ORD-00016,Thursday,13
Bruschetta Trio,1,12.5,2026-02-05 13:14:00,ORD-00016,Thursday,13
Limoncello,1,9.0,2026-02-05 13:02:00,ORD-00016,Thursday,13
Bruschetta Trio,2,25.0,2026-02-05 13:36:00,ORD-00017,Thursday,13
Chocolate Lava Cake,1,13.0,2026-02-05 13:15:00,ORD-00017,Thursday,13
Spaghetti Carbonara,1,19.0,2026-02-05 13:29:00,ORD-00018,Thursday,13
Aperol Spritz,2,28.0,2026-02-05 13:03:00,ORD-00018,Thursday,13
Tiramisu,1,12.0,2026-02-05 13:41:00,ORD-00018,Thursday,13
Calamari Fritti,2,28.0,2026-02-05 13:15:00,ORD-00019,Thursday,13
Linguine alle Vongole,1,22.0,2026-02-05 13:34:00,ORD-00019,Thursday,13
House Red Wine,1,12.0,2026-02-05 13:27:00,ORD-00019,Thursday,13
Burrata Caprese,1,16.0,2026-02-05 13:51:00,ORD-00020,Thursday,13
Rigatoni Bolognese,2,40.0,2026-02-05 13:35:00,ORD-00020,Thursday,13
Tiramisu,1,12.0,2026-02-05 13:41:00,ORD-00020,Thursday,13
Limoncello,1,9.0,2026-02-05 13:25:00,ORD-00021,Thursday,13
Linguine alle Vongole,2,44.0,2026-02-05 13:10:00,ORD-00021,Thursday,13
Panzanella,1,14.0,2026-02-05 13:24:00,ORD-00021,Thursday,13
Panna Cotta,1,10.0,2026-02-05 13:50:00,ORD-00021,Thursday,13
Cacio e Pepe,1,17.0,2026-02-05 13:12:00,ORD-00022,Thursday,13
Arancini,1,11.0,2026-02-05 13:03:00,ORD-00022,Thursday,13
Penne Arrabbiata,1,16.0,2026-02-05 14:03:00,ORD-00023,Thursday,14
Limoncello,2,18.0,2026-02-05 14:05:00,ORD-00023,Thursday,14
Spaghetti Carbonara,2,38.0,2026-02-05 14:36:00,ORD-00024,Thursday,14
Fettuccine Alfredo,1,18.0,2026-02-05 14:37:00,ORD-00025,Thursday,14
Caesar Salad,1,13.0,2026-02-05 14:20:00,ORD-00025,Thursday,14
Cappuccino,2,11.0,2026-02-05 14:13:00,ORD-00025,Thursday,14
Caesar Salad,2,26.0,2026-02-05 14:59:00,ORD-00026,Thursday,14
Chicken Parmigiana,1,24.0,2026-02-05 14:29:00,ORD-00026,Thursday,14
Cappuccino,1,5.5,2026-02-05 14:15:00,ORD-00027,Thursday,14
Chicken Parmigiana,1,24.0,2026-02-05 14:10:00,ORD-00027,Thursday,14
Espresso,1,4.0,2026-02-05 14:34:00,ORD-00027,Thursday,14
Tiramisu,1,12.0,2026-02-05 14:39:00,ORD-00027,Thursday,14
Cappuccino,2,11.0,2026-02-05 14:06:00,ORD-00028,Thursday,14
Cannoli,2,18.0,2026-02-05 14:08:00,ORD-00028,Thursday,14
Chicken Parmigiana,1,24.0,2026-02-05 14:09:00,ORD-00029,Thursday,14
House Red Wine,1,12.0,2026-02-05 14:38:00,ORD-00029,Thursday,14
Tiramisu,1,12.0,2026-02-05 14:21:00,ORD-00029,Thursday,14
Espresso,1,4.0,2026-02-05 17:02:00,ORD-00030,Thursday,17
Bruschetta Trio,1,12.5,2026-02-05 17:49:00,ORD-00030,Thursday,17
Margherita Pizza,1,16.0,2026-02-05 17:16:00,ORD-00030,Thursday,17
Insalata Mista,1,11.0,2026-02-05 17:28:00,ORD-00030,Thursday,17
Spaghetti Carbonara,1,19.0,2026-02-05 17:53:00,ORD-00031,Thursday,17
Margherita Pizza,1,16.0,2026-02-05 17:35:00,ORD-00031,Thursday,17
Caesar Salad,2,26.0,2026-02-05 17:50:00,ORD-00032,Thursday,17
Chicken Parmigiana,2,48.0,2026-02-05 17:02:00,ORD-00032,Thursday,17
Espresso,2,8.0,2026-02-05 17:13:00,ORD-00032,Thursday,17
