menu_item_name,quantity,total_price,order_id,sale_date,hour_of_day
Classic Combo,1,13.99,ORD-5000,2025-12-01,18
Brownie,1,4.49,ORD-5000,2025-12-01,18
Ice Cream Sundae,1,4.99,ORD-5001,2025-12-01,14
Double Stack,1,14.99,ORD-5001,2025-12-01,14
Chicken Burger,1,10.99,ORD-5002,2025-12-01,12
Chicken Combo,1,13.49,ORD-5002,2025-12-01,12
Classic Fries,1,3.99,ORD-5002,2025-12-01,12
Loaded Nachos,1,7.99,ORD-5003,2025-12-01,12
Soft Drink,1,2.49,ORD-5004,2025-12-01,13
Chicken Combo,1,13.49,ORD-5004,2025-12-01,13
Mushroom Swiss Burger,1,11.99,ORD-5004,2025-12-01,13
BBQ Burger,1,12.99,ORD-5005,2025-12-01,12
Sweet Potato Fries,1,4.99,ORD-5005,2025-12-01,12
Milkshake,1,5.99,ORD-5005,2025-12-01,12
Milkshake,1,5.99,ORD-5006,2025-12-01,17
BBQ Combo,1,15.99,ORD-5006,2025-12-01,17
Bacon Cheeseburger,1,12.49,ORD-5007,2025-12-01,18
Onion Rings,1,4.49,ORD-5007,2025-12-01,18
Double Stack,1,14.99,ORD-5007,2025-12-01,18
Onion Rings,1,4.49,ORD-5008,2025-12-01,20
Classic Combo,1,13.99,ORD-5009,2025-12-01,18
Brownie,1,4.49,ORD-5009,2025-12-01,18
Classic Fries,1,3.99,ORD-5010,2025-12-01,19
Craft Beer,1,6.99,ORD-5010,2025-12-01,19
Brownie,1,4.49,ORD-5010,2025-12-01,19
Classic Burger,1,9.99,ORD-5011,2025-12-01,19
Classic Fries,1,3.99,ORD-5011,2025-12-01,19
Soft Drink,1,2.49,ORD-5011,2025-12-01,19
Veggie Burger,1,10.49,ORD-5012,2025-12-01,18
Classic Combo,1,13.99,ORD-5012,2025-12-01,18
BBQ Burger,1,12.99,ORD-5013,2025-12-01,17
Sweet Potato Fries,1,4.99,ORD-5013,2025-12-01,17
Milkshake,1,5.99,ORD-5013,2025-12-01,17
Classic Burger,1,9.99,ORD-5014,2025-12-01,11
Classic Burger,1,9.99,ORD-5014,2025-12-01,11
Mac and Cheese,1,5.99,ORD-5014,2025-12-01,11
Coleslaw,1,2.99,ORD-5015,2025-12-01,19
Brownie,1,4.49,ORD-5016,2025-12-01,12
Brownie,1,4.49,ORD-5016,2025-12-01,12
Brownie,1,4.49,ORD-5017,2025-12-01,16
Mac and Cheese,1,5.99,ORD-5017,2025-12-01,16
Classic Fries,1,3.99,ORD-5018,2025-12-01,19
Mac and Cheese,1,5.99,ORD-5018,2025-12-01,19
Veggie Burger,1,10.49,ORD-5019,2025-12-01,12
Coleslaw,1,2.99,ORD-5019,2025-12-01,12
Lemonade,1,3.49,ORD-5019,2025-12-01,12
Classic Burger,1,9.99,ORD-5020,2025-12-01,11
Classic Fries,1,3.99,ORD-5020,2025-12-01,11
Soft Drink,1,2.49,ORD-5020,2025-12-01,11
Classic Burger,1,9.99,ORD-5021,2025-12-01,18
Classic Fries,1,3.99,ORD-5021,2025-12-01,18
Soft Drink,1,2.49,ORD-5021,2025-12-01,18
Bacon Cheeseburger,1,12.49,ORD-5022,2025-12-01,15
Onion Rings,1,4.49,ORD-5022,2025-12-01,15
Craft Beer,1,6.99,ORD-5022,2025-12-01,15
Brownie,1,4.49,ORD-5023,2025-12-01,17
Bacon Cheeseburger,1,12.49,ORD-5023,2025-12-01,17
Soft Drink,1,2.49,ORD-5023,2025-12-01,17
BBQ Burger,1,12.99,ORD-5024,2025-12-01,12
Sweet Potato Fries,1,4.99,ORD-5024,2025-12-01,12
Milkshake,1,5.99,ORD-5024,2025-12-01,12
Classic Combo,1,13.99,ORD-5025,2025-12-01,14
Brownie,1,4.49,ORD-5025,2025-12-01,14
Bacon Cheeseburger,1,12.49,ORD-5026,2025-12-01,19
Onion Rings,1,4.49,ORD-5026,2025-12-01,19
Craft Beer,1,6.99,ORD-5026,2025-12-01,19
BBQ Burger,1,12.99,ORD-5027,2025-12-01,12
Classic Fries,1,3.99,ORD-5027,2025-12-01,12
Classic Combo,1,13.99,ORD-5028,2025-12-01,18
Brownie,1,4.49,ORD-5028,2025-12-01,18
Soft Drink,1,2.49,ORD-5029,2025-12-01,18
BBQ Combo,1,15.99,ORD-5030,2025-12-01,16
Sweet Potato Fries,1,4.99,ORD-5030,2025-12-01,16
Mac and Cheese,1,5.99,ORD-5030,2025-12-01,16
Craft Beer,1,6.99,ORD-5031,2025-12-01,12
Onion Rings,1,4.49,ORD-5031,2025-12-01,12
Double Stack,1,14.99,ORD-5032,2025-12-01,19
Craft Beer,1,6.99,ORD-5032,2025-12-01,19
Soft Drink,1,2.49,ORD-5033,2025-12-01,17
Bacon Cheeseburger,1,12.49,ORD-5034,2025-12-01,19
Iced Tea,1,2.99,ORD-5034,2025-12-01,19
Iced Tea,1,2.99,ORD-5034,2025-12-01,19
Classic Combo,1,13.99,ORD-5035,2025-12-01,16
Brownie,1,4.49,ORD-5035,2025-12-01,16
Classic Burger,1,9.99,ORD-5036,2025-12-01,15
Classic Fries,1,3.99,ORD-5036,2025-12-01,15
