Transaction ID,Date,Time,Item Name,Qty,Unit Price,Line Total,Payment Method,Server
TXN1001,02/05/2026,01:13 PM,Lamb Biryani,1,18.99,18.99,UPI,Priya
TXN1002,02/05/2026,01:58 PM,Paneer Tikka,1,12.99,12.99,Card,Rahul
TXN1002,02/05/2026,01:58 PM,Raita,1,3.99,3.99,Cash,Rahul
TXN1002,02/05/2026,01:58 PM,Butter Naan,2,3.99,7.98,Card,Priya
TXN1003,02/05/2026,02:20 PM,Samosa,1,6.99,6.99,Cash,Rahul
TXN1003,02/05/2026,02:20 PM,Garlic Naan,2,4.49,8.98,Card,Anita
TXN1003,02/05/2026,02:20 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Rahul
TXN1003,02/05/2026,02:20 PM,Mango Lassi,1,4.99,4.99,Card,Dev
TXN1004,02/05/2026,12:13 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Rahul
TXN1004,02/05/2026,12:13 PM,Garlic Naan,1,4.49,4.49,Card,Dev
TXN1004,02/05/2026,12:13 PM,Masala Chai,1,3.49,3.49,Card,Rahul
TXN1005,02/05/2026,02:16 PM,Tandoori Chicken,1,15.99,15.99,Card,Rahul
TXN1005,02/05/2026,02:16 PM,Garlic Naan,1,4.49,4.49,UPI,Dev
TXN1005,02/05/2026,02:16 PM,Mango Lassi,1,4.99,4.99,Card,Anita
TXN1005,02/05/2026,02:16 PM,Gulab Jamun,1,5.99,5.99,Cash,Priya
TXN1006,02/05/2026,12:41 PM,Tandoori Chicken,1,15.99,15.99,Card,Rahul
TXN1006,02/05/2026,12:41 PM,Samosa,1,6.99,6.99,Card,Dev
TXN1006,02/05/2026,12:41 PM,Masala Chai,1,3.49,3.49,Card,Rahul
TXN1006,02/05/2026,12:41 PM,Butter Naan,2,3.99,7.98,Card,Dev
TXN1007,02/05/2026,12:48 PM,Fish Curry,1,17.99,17.99,Card,Rahul
TXN1007,02/05/2026,12:48 PM,Butter Naan,2,3.99,7.98,UPI,Anita
TXN1007,02/05/2026,12:48 PM,Masala Chai,1,3.49,3.49,Card,Priya
TXN1008,02/05/2026,06:26 PM,Tandoori Chicken,1,15.99,15.99,Cash,Dev
TXN1008,02/05/2026,06:26 PM,Garlic Naan,1,4.49,4.49,Card,Priya
TXN1008,02/05/2026,06:26 PM,Mango Lassi,1,4.99,4.99,Card,Priya
TXN1008,02/05/2026,06:26 PM,Gulab Jamun,1,5.99,5.99,Card,Dev
TXN1009,02/05/2026,09:37 PM,Tandoori Chicken,1,15.99,15.99,Card,Anita
TXN1009,02/05/2026,09:37 PM,Garlic Naan,1,4.49,4.49,Card,Rahul
TXN1009,02/05/2026,09:37 PM,Mango Lassi,1,4.99,4.99,Card,Dev
TXN1009,02/05/2026,09:37 PM,Gulab Jamun,1,5.99,5.99,Card,Dev
TXN1010,02/05/2026,09:31 PM,Raita,1,3.99,3.99,UPI,Rahul
TXN1010,02/05/2026,09:31 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Dev
TXN1010,02/05/2026,09:31 PM,Garlic Naan,2,4.49,8.98,Cash,Rahul
TXN1011,02/05/2026,07:11 PM,Dal Makhani,1,13.99,13.99,Card,Rahul
TXN1011,02/05/2026,07:11 PM,Samosa,1,6.99,6.99,Card,Anita
TXN1011,02/05/2026,07:11 PM,Kheer,1,5.49,5.49,Cash,Rahul
TXN1011,02/05/2026,07:11 PM,Butter Naan,1,3.99,3.99,Card,Dev
TXN1011,02/05/2026,07:11 PM,Masala Chai,1,3.49,3.49,Card,Priya
TXN1012,02/05/2026,08:18 PM,Samosa,1,6.99,6.99,Card,Dev
TXN1012,02/05/2026,08:18 PM,Masala Chai,1,3.49,3.49,Card,Anita
TXN1013,02/05/2026,09:28 PM,Mango Lassi,1,4.99,4.99,UPI,Anita
TXN1013,02/05/2026,09:28 PM,Masala Chai,1,3.49,3.49,Card,Priya
TXN1014,02/05/2026,06:27 PM,Samosa,1,6.99,6.99,Card,Dev
TXN1014,02/05/2026,06:27 PM,Masala Chai,1,3.49,3.49,Card,Anita
TXN1015,02/05/2026,08:35 PM,Tandoori Chicken,1,15.99,15.99,Cash,Rahul
TXN1015,02/05/2026,08:35 PM,Garlic Naan,1,4.49,4.49,Card,Rahul
TXN1015,02/05/2026,08:35 PM,Kheer,1,5.49,5.49,Card,Dev
TXN1016,02/05/2026,09:11 PM,Samosa,1,6.99,6.99,Card,Anita
TXN1016,02/05/2026,09:11 PM,Masala Chai,1,3.49,3.49,Card,Rahul
TXN1017,02/05/2026,06:57 PM,Aloo Gobi,1,9.99,9.99,Cash,Rahul
TXN1017,02/05/2026,06:57 PM,Gulab Jamun,1,5.99,5.99,Card,Rahul
TXN1017,02/05/2026,06:57 PM,Mango Lassi,1,4.99,4.99,Cash,Priya
TXN1017,02/05/2026,06:57 PM,Paneer Tikka,1,12.99,12.99,Card,Anita
TXN1018,02/06/2026,12:05 PM,Dal Makhani,1,13.99,13.99,Cash,Anita
TXN1018,02/06/2026,12:05 PM,Butter Naan,1,3.99,3.99,UPI,Priya
TXN1019,02/06/2026,01:10 PM,Samosa,1,6.99,6.99,UPI,Anita
TXN1019,02/06/2026,01:10 PM,Masala Chai,1,3.49,3.49,Card,Dev
TXN1020,02/06/2026,11:56 AM,Mango Lassi,1,4.99,4.99,Card,Anita
TXN1020,02/06/2026,11:56 AM,Butter Naan,2,3.99,7.98,Card,Rahul
TXN1021,02/06/2026,02:27 PM,Dal Makhani,1,13.99,13.99,Card,Priya
TXN1021,02/06/2026,02:27 PM,Aloo Gobi,1,9.99,9.99,Card,Dev
TXN1021,02/06/2026,02:27 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Anita
TXN1022,02/06/2026,12:44 PM,Aloo Gobi,1,9.99,9.99,Card,Rahul
TXN1022,02/06/2026,12:44 PM,Tandoori Chicken,1,15.99,15.99,Card,Rahul
TXN1022,02/06/2026,12:44 PM,Raita,1,3.99,3.99,Cash,Priya
TXN1022,02/06/2026,12:44 PM,Butter Naan,1,3.99,3.99,Card,Rahul
TXN1023,02/06/2026,01:51 PM,Aloo Gobi,1,9.99,9.99,Card,Priya
TXN1023,02/06/2026,01:51 PM,Raita,1,3.99,3.99,UPI,Dev
TXN1023,02/06/2026,01:51 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Anita
TXN1024,02/06/2026,12:07 PM,Lamb Biryani,1,18.99,18.99,Card,Anita
TXN1024,02/06/2026,12:07 PM,Aloo Gobi,1,9.99,9.99,Card,Anita
TXN1024,02/06/2026,12:07 PM,Samosa,1,6.99,6.99,Card,Dev
TXN1024,02/06/2026,12:07 PM,Garlic Naan,2,4.49,8.98,UPI,Rahul
TXN1024,02/06/2026,12:07 PM,Masala Chai,1,3.49,3.49,UPI,Rahul
TXN1025,02/06/2026,11:42 AM,Mango Lassi,1,4.99,4.99,Card,Rahul
TXN1025,02/06/2026,11:42 AM,Paneer Tikka,1,12.99,12.99,UPI,Dev
TXN1026,02/06/2026,11:48 AM,Lamb Biryani,1,18.99,18.99,Card,Dev
TXN1026,02/06/2026,11:48 AM,Raita,1,3.99,3.99,Card,Priya
TXN1026,02/06/2026,11:48 AM,Masala Chai,1,3.49,3.49,Card,Rahul
TXN1027,02/06/2026,12:15 PM,Palak Paneer,1,14.99,14.99,Card,Priya
TXN1027,02/06/2026,12:15 PM,Garlic Naan,2,4.49,8.98,Card,Dev
TXN1027,02/06/2026,12:15 PM,Kheer,1,5.49,5.49,Cash,Priya
TXN1027,02/06/2026,12:15 PM,Masala Chai,1,3.49,3.49,Card,Rahul
TXN1028,02/06/2026,07:27 PM,Tandoori Chicken,1,15.99,15.99,Card,Dev
TXN1028,02/06/2026,07:27 PM,Butter Naan,2,3.99,7.98,Card,Rahul
TXN1028,02/06/2026,07:27 PM,Paneer Tikka,1,12.99,12.99,Cash,Rahul
TXN1029,02/06/2026,06:18 PM,Fish Curry,1,17.99,17.99,UPI,Priya
TXN1029,02/06/2026,06:18 PM,Mango Lassi,1,4.99,4.99,Card,Rahul
TXN1030,02/06/2026,08:13 PM,Mango Lassi,1,4.99,4.99,Cash,Rahul
TXN1030,02/06/2026,08:13 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Priya
TXN1030,02/06/2026,08:13 PM,Garlic Naan,2,4.49,8.98,Cash,Priya
TXN1031,02/06/2026,07:23 PM,Dal Makhani,1,13.99,13.99,Card,Anita
TXN1031,02/06/2026,07:23 PM,Raita,1,3.99,3.99,Card,Rahul
TXN1031,02/06/2026,07:23 PM,Butter Naan,1,3.99,3.99,Card,Anita
TXN1031,02/06/2026,07:23 PM,Masala Chai,1,3.49,3.49,UPI,Anita
TXN1032,02/06/2026,06:27 PM,Palak Paneer,1,14.99,14.99,Card,Priya
TXN1032,02/06/2026,06:27 PM,Garlic Naan,2,4.49,8.98,Cash,Priya
TXN1032,02/06/2026,06:27 PM,Kheer,1,5.49,5.49,Card,Anita
TXN1033,02/06/2026,07:13 PM,Butter Naan,2,3.99,7.98,Card,Priya
TXN1033,02/06/2026,07:13 PM,Chicken Tikka Masala,1,16.99,16.99,Cash,Priya
TXN1034,02/06/2026,08:51 PM,Tandoori Chicken,1,15.99,15.99,Card,Dev
TXN1034,02/06/2026,08:51 PM,Garlic Naan,1,4.49,4.49,Cash,Anita
TXN1034,02/06/2026,08:51 PM,Mango Lassi,1,4.99,4.99,Card,Anita
TXN1034,02/06/2026,08:51 PM,Gulab Jamun,1,5.99,5.99,Card,Anita
TXN1035,02/06/2026,08:13 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Anita
TXN1035,02/06/2026,08:13 PM,Butter Naan,2,3.99,7.98,Card,Anita
TXN1035,02/06/2026,08:13 PM,Mango Lassi,1,4.99,4.99,UPI,Rahul
TXN1036,02/06/2026,06:27 PM,Tandoori Chicken,1,15.99,15.99,Card,Priya
TXN1036,02/06/2026,06:27 PM,Garlic Naan,1,4.49,4.49,Cash,Dev
TXN1036,02/06/2026,06:27 PM,Masala Chai,1,3.49,3.49,Card,Rahul
TXN1037,02/06/2026,08:26 PM,Lamb Biryani,1,18.99,18.99,Cash,Dev
TXN1037,02/06/2026,08:26 PM,Tandoori Chicken,1,15.99,15.99,Card,Priya
TXN1037,02/06/2026,08:26 PM,Garlic Naan,2,4.49,8.98,Card,Priya
TXN1037,02/06/2026,08:26 PM,Chicken Tikka Masala,1,16.99,16.99,Card,Dev
