platform,post_type,content_summary,menu_item_name,posted_at,likes,comments,shares,reach
instagram,reel,Our butter chicken sizzling in the tandoor - pure magic!,Chicken Tikka Masala,2026-02-06 12:30:00,342,28,45,2100
instagram,photo,Fresh paneer tikka straight off the grill,Paneer Tikka,2026-02-08 18:15:00,215,18,22,1350
facebook,photo,Weekend special: Lamb Biryani with raita,Lamb Biryani,2026-02-09 11:00:00,89,12,15,650
tiktok,reel,POV: You ordered the Mango Lassi on a hot day,Mango Lassi,2026-02-10 13:00:00,567,45,82,4200
instagram,carousel,Behind the scenes in our kitchen - making naan from scratch,Butter Naan,2026-02-12 19:00:00,278,32,28,1800
instagram,photo,The perfect Dal Makhani takes 24 hours to cook,Dal Makhani,2026-02-14 12:00:00,195,22,18,1200
facebook,video,How we make our signature Chicken Tikka Masala,Chicken Tikka Masala,2026-02-15 18:30:00,124,15,20,890
tiktok,reel,Samosa ASMR - that crunch though,Samosa,2026-02-16 13:30:00,823,67,120,6500
instagram,photo,Valentine's dinner done right - Tandoori Chicken for two,Tandoori Chicken,2026-02-14 19:30:00,310,25,30,1950
instagram,reel,Gulab Jamun being dropped into sugar syrup,Gulab Jamun,2026-02-18 14:00:00,445,38,55,3200
facebook,photo,New addition: Fish Curry with coconut cream,Fish Curry,2026-02-20 12:00:00,67,8,10,480
instagram,photo,Morning masala chai to start your day right,Masala Chai,2026-02-21 09:00:00,188,15,12,1100
tiktok,video,Full thali spread at Spice Garden,Chicken Tikka Masala,2026-02-22 19:00:00,612,52,78,4800
instagram,reel,Making Kheer the traditional way with saffron and pistachios,Kheer,2026-02-23 15:00:00,267,20,25,1650
instagram,photo,Our Palak Paneer is 100% fresh spinach - no shortcuts,Palak Paneer,2026-02-25 12:30:00,175,14,16,1050
facebook,photo,Lunch special: Aloo Gobi with garlic naan,Aloo Gobi,2026-02-26 11:30:00,52,6,8,380
tiktok,reel,The stretch of our fresh garlic naan,Garlic Naan,2026-02-27 18:00:00,489,40,65,3800
instagram,photo,Lamb Biryani layers - rice saffron meat repeat,Lamb Biryani,2026-02-28 19:30:00,298,24,32,1900
instagram,carousel,5 reasons our Mango Lassi is the best in town,Mango Lassi,2026-03-01 13:00:00,356,30,42,2400
facebook,video,Customer reactions to our Samosa platter,Samosa,2026-03-02 17:00:00,95,11,14,700
instagram,reel,Friday night vibes at Spice Garden,Chicken Tikka Masala,2026-03-06 20:00:00,520,42,58,3600
tiktok,reel,When the raita hits different with biryani,Raita,2026-03-04 12:30:00,378,30,48,2900
