platform,post_type,content_summary,menu_item_name,posted_at,likes,comments,shares,reach
Instagram,reel,Latte art slow-motion pour with jazz music,Latte,2025-12-03 09:15:00,1842,124,287,12450
Instagram,photo,Seasonal holiday cup design reveal,Latte,2025-12-05 10:30:00,623,45,62,4200
Instagram,reel,Behind the scenes: croissant baking at 5am,Croissant,2025-12-08 07:00:00,2105,198,342,15800
Instagram,photo,Cozy corner booth with latte and book,Latte,2025-12-10 14:00:00,487,32,41,3100
Instagram,story,Daily special: Gingerbread Latte,,2025-12-12 08:00:00,215,0,0,1800
Facebook,photo,Holiday catering menu announcement,,2025-12-14 11:00:00,156,28,34,2800
Instagram,reel,Matcha latte making process from whisk to pour,Matcha Latte,2025-12-16 09:30:00,1567,89,198,11200
TikTok,reel,Barista tries every drink on the menu challenge,,2025-12-18 15:00:00,4523,342,567,28900
Instagram,photo,Avocado toast flat lay with coffee,Avocado Toast,2025-12-20 10:00:00,734,56,78,5100
Facebook,text,New Year hours announcement,,2025-12-22 09:00:00,45,12,8,1200
Instagram,reel,Year in review - best moments at The Cozy Bean,,2025-12-25 12:00:00,1923,156,289,14500
Instagram,photo,New Year countdown with champagne cold brew,Cold Brew,2025-12-28 16:00:00,567,43,52,3900
TikTok,reel,Rating our pastries tier list,Croissant,2025-12-30 13:00:00,3876,267,445,22100
Instagram,photo,First sunrise of 2026 through cafe window,,2026-01-01 07:30:00,892,67,98,6200
Instagram,reel,New year new menu items reveal,Acai Bowl,2026-01-03 10:00:00,1345,112,178,9800
Facebook,photo,Customer spotlight: regulars share their favorites,,2026-01-05 11:30:00,234,45,23,3200
Instagram,story,Snow day vibes with hot chocolate,Mocha,2026-01-07 08:00:00,189,0,0,1600
Instagram,reel,ASMR espresso extraction close-up,Espresso,2026-01-10 09:00:00,2678,178,312,18400
Instagram,photo,Cinnamon roll fresh from the oven,Cinnamon Roll,2026-01-12 07:30:00,645,52,67,4500
TikTok,reel,Can our barista make a drink blindfolded,,2026-01-14 14:00:00,5234,423,678,34500
Facebook,text,Weekend brunch specials announcement,,2026-01-16 09:00:00,67,18,12,1500
Instagram,photo,Berry smoothie bowl art,Berry Smoothie,2026-01-18 10:30:00,478,34,45,3300
Instagram,reel,From bean to cup: our sourcing story,Espresso,2026-01-20 11:00:00,1876,134,234,13200
Instagram,photo,Chai latte with a view of the park,Chai Latte,2026-01-22 15:00:00,523,41,56,3700
Instagram,reel,Speed challenge: making 10 lattes in 5 minutes,Latte,2026-01-25 10:00:00,3456,245,412,24300
Facebook,photo,Valentine menu preview with heart latte art,Latte,2026-01-28 12:00:00,312,56,45,4100
Instagram,photo,Quinoa bowl prep behind the scenes,Quinoa Bowl,2026-01-30 11:30:00,398,28,34,2800
TikTok,reel,Customers guess the price of our ingredients,,2026-02-01 13:00:00,6123,534,789,41200
Instagram,reel,Valentine special heart-shaped croissant,Croissant,2026-02-03 08:00:00,2345,187,298,16700
Instagram,photo,Galentines day group photo at the cafe,,2026-02-05 14:00:00,567,45,67,4000
Instagram,story,Flash sale: buy one get one lattes,Latte,2026-02-07 09:00:00,278,0,0,2200
Facebook,text,Hiring baristas - join our team,,2026-02-09 10:00:00,89,34,23,2100
Instagram,reel,Cold brew concentrate making timelapse,Cold Brew,2026-02-11 09:30:00,1678,123,198,11800
Instagram,photo,Rainy day reading nook aesthetic,,2026-02-13 15:00:00,612,48,62,4300
Instagram,reel,Valentine special drinks reveal,Mocha,2026-02-14 08:00:00,2890,212,345,19800
TikTok,reel,POV you work at The Cozy Bean for a day,,2026-02-16 12:00:00,4567,356,523,29800
Instagram,photo,New spring menu testing session,,2026-02-18 11:00:00,445,38,45,3100
Instagram,reel,Acai bowl topping art in slow motion,Acai Bowl,2026-02-20 10:00:00,1234,98,156,8900
Facebook,photo,Community event: open mic night announcement,,2026-02-22 14:00:00,178,34,28,2600
Instagram,photo,Sunrise through steam from a fresh cappuccino,Cappuccino,2026-02-23 07:00:00,534,42,56,3800
Instagram,reel,Green smoothie making with spinach tornado,Green Machine,2026-02-24 09:30:00,1567,112,187,10900
Instagram,story,Weekend special: free cookie with any coffee,Chocolate Chip Cookie,2026-02-25 08:00:00,198,0,0,1700
TikTok,reel,Ranking every sandwich on our menu,Turkey Club,2026-02-26 13:00:00,3234,278,434,21500
Instagram,photo,End of February gratitude post to our customers,,2026-02-27 16:00:00,678,67,78,4800
Instagram,reel,March preview: new spring drinks coming soon,,2026-02-28 10:00:00,1456,108,178,10200
